GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Cliente.Dominio,Usuario_Logueado,9,0,0,0,2,0,1,0,1,0
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Cliente.Dominio,Gestor_Remoto,29,34,6,12,5,8,8,5,2,2
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Servidor.Dominio,Gestor_Dominio,64,391,7,29,9,67,8,22,1,11
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Servidor.Dominio,Gestor_Remoto,175,44,6,10,18,8,9,4,3,2
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Servidor.Dominio,Artista,0,37,0,0,0,11,0,5,0,5
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Servidor.Dominio,Album,6,54,0,0,2,14,1,6,1,6
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Servidor.Dominio,Cancion,8,51,0,0,4,14,2,7,2,7
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Servidor.Dominio,Usuario,3,36,0,0,1,13,1,6,1,6
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Servidor.Presentacion,IU_Servidor,213,0,0,0,37,0,3,0,3,0
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Servidor.Presentacion,IU_Servidor.BtnAadirActionListener,35,0,2,0,7,0,3,0,2,0
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Servidor.Presentacion,IU_Servidor.Form_Canciones,567,0,0,0,109,0,1,0,1,0
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Servidor.Presentacion,IU_Servidor.item_Cancion,37,0,0,0,7,0,1,0,1,0
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Servidor.Presentacion,IU_Servidor.new Runnable() {...},16,0,0,0,7,0,2,0,2,0
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Servidor.Presentacion,IU_Servidor.Form_Canciones.BtnFormActionListener,65,0,2,0,10,0,3,0,2,0
B106_Lofify_TESTING,B1_06.B106_Lofify_TESTING.Servidor.Persistencia,Agente,47,293,12,30,10,59,10,17,0,3
